'ID,Serial No,Equipment Type,Location,Employee No.,Impact Date,Impact Time,Impact Timezone,AP,Type,X-Axis Threshold,X-Axis Captured,Y-Axis Threshold,Y-Axis Captured,Impulse Threshold,Impulse Captured,Locked,Lock Cleared Date,Lock Cleared Time,Lock Cleared Timezone,Acknowledged Date,Acknowledged Time,Acknowledged Timezone,Comments
842 F,6A253328,PW,Plant 5,23837,9/15/2020,7:34:00 AM,EDT,*P5 B16,High,17,9,12,13,,,,,,,9/25/2020,11:15:03 AM,EDT,No Comment
880 I,6a310577,PW,Plant 5,51111,9/15/2020,12:27:45 PM,EDT,*P5 B16,High,17,13,12,12,,,,,,,9/25/2020,11:15:01 AM,EDT,No Comment
880 I,6a310577,PW,Plant 5,28197,9/1/2020,11:59:23 AM,EDT,*P5 B16,High,17,17,12,8,,,,,,,9/1/2020,12:40:54 PM,EDT,Putting build table in track on assembly line. No damage
881 I,6a310578,PW,Plant 5,51111,9/15/2020,10:05:43 AM,EDT,*P5 B16,High,17,9,12,13,,,,,,,9/25/2020,11:15:02 AM,EDT,No Comment
881 I,6a310578,PW,Plant 5,23837,9/14/2020,7:56:46 AM,EDT,*P5 B16,High,17,11,12,12,,,,,,,9/25/2020,11:15:04 AM,EDT,No Comment
908 I,6A204333,PW,Plant 5,2949,9/15/2020,3:40:47 PM,EDT,*P5 B16,High,17,7,12,14,,,,,,,9/25/2020,11:14:56 AM,EDT,No Comment
914 I,6A198561,PW,Plant 5,50953,9/1/2020,3:19:35 PM,EDT,*P5 Loc-4 near E20,High,17,10,12,12,,,,,,,9/2/2020,6:20:48 AM,EDT,"Bumped into build table when moving, no damage to truck"
946 I,6A279429,PW,Plant 5,62548,9/14/2020,4:07:43 AM,EDT,*P5 B16,High,17,17,12,5,,,,,,,9/14/2020,11:22:03 PM,EDT,Pushing the build table into the track.
108 F,1a391520,RC5500,Plant 5,2949,9/2/2020,1:02:23 PM,EDT,*P5 Loc-2 near F48,High,4,4,4,2,15,0,,,,,9/2/2020,2:19:21 PM,EDT,No Comment
010 F,1A548980,RM6000,Plant 5,29905,9/22/2020,5:17:21 AM,EDT,*P5 Loc-1 near C52,High,5,2,5,5,20,28,,,,,9/22/2020,5:29:41 AM,EDT,changing battery
020 F,1A396438,RM6000,Plant 5,54072,9/11/2020,4:31:24 PM,EDT,*P5 B16,High,4,3,4,4,15,58,,,,,,,,
319 I,5A549168,SX,Plant 5,976,9/2/2020,1:05:59 PM,EDT,*P5 B16,High,4,1,4,5,,,,,,,9/25/2020,11:15:13 AM,EDT,No Comment
319 I,5A549168,SX,Plant 5,976,9/2/2020,1:06:45 PM,EDT,*P5 B16,High,4,2,4,4,,,,,,,9/25/2020,11:15:13 AM,EDT,No Comment
319 I,5A549168,SX,Plant 5,976,9/2/2020,1:22:42 PM,EDT,*P8 Shop Floor SW,High,4,33,4,35,,,,,,,9/25/2020,11:15:12 AM,EDT,No Comment
319 I,5A549168,SX,Plant 5,976,9/2/2020,2:50:28 PM,EDT,*P8 Shop Floor NE,High,4,4,4,6,,,,,,,9/25/2020,11:15:11 AM,EDT,No Comment
319 I,5A549168,SX,Plant 5,976,9/2/2020,2:50:29 PM,EDT,*P8 Shop Floor NE,High,4,4,4,2,,,,,,,9/25/2020,11:15:10 AM,EDT,No Comment
319 I,5A549168,SX,Plant 5,26659,9/25/2020,8:40:31 AM,EDT,*P5 B16,High,4,3,4,5,,,,,,,9/25/2020,11:14:10 AM,EDT,Shimming mast with truck. No damage
406 F,10199144,TR 4500,Plant 5,62635,9/3/2020,4:58:55 AM,EDT,707DB98AFFAC,High,14,17,14,6,15,26,,,,,,,,
406 F,10199144,TR 4500,Plant 5,62635,9/21/2020,11:41:37 PM,EDT,*P4 BB16,High,14,26,14,13,15,17,,,,,,,,
406 F,10199144,TR 4500,Plant 5,53193,9/1/2020,4:34:20 AM,EDT,*P5 B16,High,14,20,14,13,15,17,,,,,9/2/2020,1:19:42 AM,EDT,The TR was traveling on rough concrete between plant 4 and 3
410 F,6A310672,TR 4500,Plant 5,1579,9/4/2020,1:55:20 PM,EDT,*P5 Loc-1 near C52,High,14,15,16,9,14,17,,,,,9/4/2020,2:24:02 PM,EDT,"Operator was coming in door and when he hit the threshold for door, the alarm sounded. Operator stated that he did not feel that the bump was excessive."
417 F,10095959,TR 4500,Plant 5,24817,9/15/2020,1:02:23 PM,EDT,*P5 Loc-1 near C52,High,8,9,8,1,15,29,,,,,9/15/2020,1:09:18 PM,EDT,Operator was backing up to hook up to a wagon and the tongue hit the hitch on the TR. No damage occurred.
417 F,10095959,TR 4500,Plant 5,51457,9/22/2020,8:32:29 AM,EDT,*P5 Loc-1 near C52,High,8,8,8,3,15,20,,,,,,,,
514 I,9a157916,WAVE,Plant 5,28988,9/24/2020,1:29:46 PM,EDT,*P5 Loc-3 near C32,High,7,12,7,27,,,,,,,9/25/2020,11:14:53 AM,EDT,No Comment
530 F,9A212833,WAVE,Plant 5,29848,9/11/2020,12:44:08 PM,EDT,*P5 Loc-3 near C32,High,11,4,11,14,,,,,,,9/25/2020,11:15:05 AM,EDT,No Comment
530 F,9A212833,WAVE,Plant 5,23201,9/18/2020,10:39:37 AM,EDT,*P5 Loc-3 near C32,High,11,6,11,18,,,,,,,9/25/2020,11:14:54 AM,EDT,No Comment
817 I,5A391238,WP,Plant 5,17145,9/1/2020,10:44:29 AM,EDT,*P5 Loc-4 near E20,High,25,21,20,23,,,,,,,9/1/2020,11:43:56 AM,EDT,Moving transport stand when alarm went off.
817 I,5A391238,WP,Plant 5,56255,9/1/2020,2:12:38 AM,EDT,*P5 Loc-3 near C32,High,25,27,20,13,,,,,,,9/2/2020,1:20:26 AM,EDT,Pushing RC stand into hold down fixture.
817 I,5A391238,WP,Plant 5,23201,9/25/2020,12:46:31 PM,EDT,*P5 Loc-4 near E20,High,25,4,20,24,,,,,,,9/25/2020,1:48:55 PM,EDT,No Comment
911 I,5A317597,WP,Plant 5,24771,9/4/2020,9:23:56 AM,EDT,*P5 Loc-4 near E20,High,25,31,20,18,,,,,,,9/4/2020,9:39:01 AM,EDT,Placing mast in hold down stand. No damage
911 I,5A317597,WP,Plant 5,17145,9/16/2020,8:26:48 AM,EDT,*P5 Loc-4 near E20,High,25,17,20,20,,,,,,,9/25/2020,11:14:55 AM,EDT,No Comment
973 I,7A256389,WP,Plant 5,53862,9/2/2020,12:18:01 AM,EDT,*P5 Loc-3 near C32,High,10,4,10,32,,,,,,,9/2/2020,1:18:36 AM,EDT,RM was trying to pass and outrigger grazed the side plate.  No damage to either truck.
648 O,9A192150,IC,Plant 8,1154,9/1/2020,2:08:03 PM,EDT,*P8 Shop Floor NE,High,5,2,1,1,29,55,,,,,,,,
044 O GENA,1A516502,RM6000,Plant 8,59789,9/16/2020,3:41:50 PM,EDT,0078882A19E0,High,5,5,5,1,15,0,,,,,9/17/2020,3:18:33 PM,EDT,Operator didn't make contact with anything. Alarm on truck never went off.
363 O,6A325171,SHR/SH,Plant 8,1154,9/9/2020,7:19:31 AM,EDT,*P4 DC Pole 4J48,High,5,4,5,5,15,0,,,,,,,,
215 O,1A499055,SP,Plant 8,51756,9/18/2020,2:51:37 PM,EDT,Out of Range,High,12,9,12,12,19,20,,,,,9/21/2020,11:33:27 AM,EDT,Driving lift across parking lot and the alarm went off.
405 O,6A339495,TR 4500,Plant 8,59859,9/16/2020,5:48:17 AM,EDT,*P14,High,9,19,9,19,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,30809,9/3/2020,10:23:02 AM,EDT,*P5 Loc-1 near C52,High,9,9,9,9,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,30809,9/3/2020,11:53:06 AM,EDT,*P5 Loc-2 near F48,High,9,13,9,12,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,30809,9/4/2020,11:54:08 AM,EDT,*P5 Loc-1 near C52,High,9,14,9,14,15,23,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,30809,9/4/2020,1:01:51 PM,EDT,*P5 Loc-1 near C52,High,9,12,9,14,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,30809,9/15/2020,8:49:41 AM,EDT,*P5 B16,High,9,19,9,20,15,22,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,62635,9/8/2020,1:15:24 AM,EDT,*P5 Loc-1 near C52,High,9,24,9,25,15,16,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,1579,9/22/2020,10:47:51 AM,EDT,*P5 Loc-1 near C52,High,9,12,9,13,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,1579,9/22/2020,11:17:08 AM,EDT,*P5 Loc-1 near C52,High,9,32,9,33,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,1579,9/22/2020,2:00:49 PM,EDT,*P5 Loc-1 near C52,High,9,29,9,30,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,26321,9/2/2020,3:39:14 AM,EDT,*P4 BB16,High,9,11,9,6,15,32,,,,,9/2/2020,4:26:37 AM,EDT,Hit bump outside of Plant 3. No damage.
405 O,6A339495,TR 4500,Plant 8,22946,9/8/2020,8:28:48 AM,EDT,005D736C2CE3,High,9,20,9,19,15,43,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,22946,9/10/2020,10:04:43 AM,EDT,*P5 Loc-1 near C52,High,9,11,9,11,15,17,,,,,,,,
405 O,6A339495,TR 4500,Plant 8,22946,9/10/2020,12:32:50 PM,EDT,*P5 Loc-1 near C52,High,9,10,9,9,15,19,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/3/2020,5:06:24 PM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/3/2020,5:07:24 PM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/3/2020,5:09:13 PM,CDT,188B9D2C930A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/5/2020,3:05:39 PM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/5/2020,3:08:41 PM,CDT,188B9D2C9305,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,1486,9/5/2020,3:13:26 PM,CDT,188B9D2C9305,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3067,9/18/2020,8:56:43 AM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/8/2020,3:57:00 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/8/2020,3:57:04 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/8/2020,3:57:44 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/9/2020,11:24:51 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/9/2020,11:25:48 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/9/2020,11:30:52 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/9/2020,12:14:02 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/10/2020,8:28:28 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/10/2020,12:35:07 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/10/2020,12:35:22 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/10/2020,12:35:32 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/10/2020,5:44:04 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/17/2020,9:16:56 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/17/2020,9:25:45 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/17/2020,9:25:53 AM,CDT,188B9D22A175,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/18/2020,4:08:32 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/18/2020,4:08:50 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/18/2020,4:09:31 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/21/2020,5:26:32 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/21/2020,5:26:39 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/21/2020,5:26:54 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,10:28:00 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,11:03:53 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,11:04:54 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,11:07:39 AM,CDT,188B9D2C930A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,12:07:22 PM,CDT,Out of Range,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,1:41:43 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,2:45:58 PM,CDT,70B3177AFEC5,Low,2,2,2,3,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,2:46:50 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3474,9/25/2020,2:47:19 PM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,4065,9/5/2020,11:59:16 AM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,2186,9/18/2020,10:44:17 AM,CDT,188B9D22A17A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3108,9/3/2020,2:00:54 PM,CDT,F44E051DAD7A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3108,9/3/2020,2:01:41 PM,CDT,F44E051DAD7A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3108,9/3/2020,2:02:17 PM,CDT,F44E051DAD7A,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:27:42 AM,CDT,188B9D22A175,Low,2,2,2,2,,,,,,,9/17/2020,10:55:02 AM,CDT,Refiere el colaborador Canuto que el montacargas frena de golpe y esta generando alarmas de impactos el montacargas se envía al taller para su revision
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:27:51 AM,CDT,188B9D2C930A,Low,2,1,2,2,,,,,,,9/17/2020,10:56:23 AM,CDT,Refiere el colaborador Canuto que el montacargas frena de golpe y esta generando alarmas de impacto el montacargas se envía al taller para su revision
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:28:01 AM,CDT,188B9D2C930A,Low,2,1,2,2,,,,,,,9/17/2020,11:28:46 AM,CDT,"Refiere el colaborador Canuto que esta frenando de golpe el montacargas y esta generando alarmas de impacto, sera enviado al taller para su revision"
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:48:39 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,9/17/2020,10:51:25 AM,CDT,"Refiere el colaborador Canuto que el montacargas frena de golpe y esta generando alarmas de impactos, el montacargas se envía a taller para su revision"
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:49:15 AM,CDT,70B3177AFEC5,Low,2,1,2,2,,,,,,,9/17/2020,11:29:39 AM,CDT,"Refiere el colaborador Canuto que el montacargas esta frenando de golpe y esta generando alarmas de impacto, el montacargas sera enviado al taller para su revision"
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,10:58:31 AM,CDT,70B3177AFEC5,Low,2,2,2,2,,,,,,,9/17/2020,11:30:31 AM,CDT,"refiere el colaborador Canuto que el montacargas esta frenando de golpe y esta generando alarmas de impacto, sera envido al taller para su revision"
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,11:35:13 AM,CDT,4C776DFF9E65,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,11:36:08 AM,CDT,4C776DFF9E65,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,12:23:09 PM,CDT,4C776DFF9E65,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,12:29:52 PM,CDT,4C776DFF9E65,Low,2,1,2,2,,,,,,,,,,
050814 Facilities Q1,1A295497,RC3020,Queretaro Plt 1,3051,9/17/2020,12:32:01 PM,CDT,1C6A7AA92035,Low,2,1,2,2,,,,,,,,,,
050816 FORK LINE Q1,1A295498,RC3020,Queretaro Plt 1,3123,9/21/2020,7:53:37 AM,CDT,4C776DFF9E6A,High,8,13,8,5,,,Locked,9/21/2020,8:23:09 AM,CDT,9/21/2020,8:58:27 AM,CDT,"Buenos días, 

Se desbloquea el equipo ya que él operador del montacargas, argumenta que solo se bloqueo de ""repente"", se acude al área y se inspecciona que no haya golpes a equipos o baches en el piso. Revisando que todo esta correcto, se procede con el desbloqueó. Adicional se le pide al colaborador que se lleve a inspección el montacargas."
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,2475,9/23/2020,4:02:15 PM,CDT,Out of Range,Low,2,2,2,1,14,0,,,,,,,,
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,2799,9/22/2020,6:45:51 PM,CDT,70B3177AFEC5,Low,2,2,2,1,14,0,,,,,,,,
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,4065,9/9/2020,8:20:06 AM,CDT,A46C2A8839E5,Low,2,2,2,1,14,0,,,,,,,,
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,4065,9/12/2020,8:58:52 AM,CDT,70B3177AFEC5,Low,2,2,2,1,14,0,,,,,,,,
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,3108,9/25/2020,9:46:24 AM,CDT,F44E051DAD7A,Low,2,2,2,0,14,0,,,,,,,,
081003 DIAMANTE Q1,1A340456,RC5500,Queretaro Plt 1,3108,9/25/2020,9:58:57 AM,CDT,F44E051DAD7A,Low,2,2,2,1,14,0,,,,,,,,
170325 JADE,1A484398,RC5500,Queretaro Plt 2,3550,9/26/2020,10:10:39 AM,CDT,A46C2A882EDB,High,6,4,6,8,14,0,Locked,9/26/2020,10:28:04 AM,CDT,9/26/2020,10:17:03 AM,CDT,No Comment
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/1/2020,10:43:52 AM,CDT,00A6CAB00534,Low,1,1,1,0,19,2,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/1/2020,12:26:14 PM,CDT,Out of Range,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/3/2020,8:35:34 AM,CDT,00BE75022D04,Low,1,1,1,0,19,29,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/3/2020,1:23:41 PM,CDT,A46C2A882ED4,Low,1,1,1,0,19,2,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/4/2020,12:18:22 PM,CDT,00A6CA86CFD4,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/4/2020,12:41:57 PM,CDT,00A6CA86CFD4,Low,1,2,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/4/2020,2:01:48 PM,CDT,Out of Range,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/7/2020,7:20:38 AM,CDT,00A6CA86CFD4,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/7/2020,1:35:59 PM,CDT,Out of Range,Low,1,1,1,0,19,6,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/7/2020,2:20:03 PM,CDT,00A6CAB00534,Low,1,1,1,0,19,6,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/8/2020,11:11:22 AM,CDT,A46C2A882ED4,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/8/2020,1:48:50 PM,CDT,188B9D835664,Low,1,1,1,0,19,3,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/9/2020,1:09:01 PM,CDT,00A6CA86CFD4,Low,1,1,1,0,19,2,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/9/2020,2:31:40 PM,CDT,QP2-,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/10/2020,1:48:01 PM,CDT,A46C2A883AC4,Low,1,1,1,0,19,6,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/11/2020,10:55:51 AM,CDT,A46C2A819F94,Low,1,1,1,0,19,8,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/11/2020,2:15:10 PM,CDT,00A6CA86CFD4,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/17/2020,11:35:56 AM,CDT,00A6CAB00534,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/17/2020,2:12:20 PM,CDT,00A6CAC35214,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/18/2020,2:06:53 PM,CDT,188B9D835664,High,5,5,8,3,19,0,Locked,9/18/2020,2:24:08 PM,CDT,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/19/2020,11:01:08 AM,CDT,00A6CAC35214,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/22/2020,1:08:27 AM,CDT,QP2-005,Low,1,1,1,1,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/22/2020,1:58:22 AM,CDT,A46C2A819F94,Low,1,1,1,0,19,8,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/22/2020,4:10:23 AM,CDT,Out of Range,Low,1,1,1,0,19,8,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/23/2020,2:13:06 AM,CDT,Out of Range,Low,1,1,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/23/2020,3:33:24 AM,CDT,Out of Range,Low,1,2,1,0,19,5,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/24/2020,12:35:23 AM,CDT,Out of Range,Low,1,1,1,0,19,2,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3957,9/24/2020,11:37:13 PM,CDT,00A6CAC35214,Low,1,1,1,0,19,0,,,,,,,,
131031 ONIX,1A409427,RR,Queretaro Plt 2,3726,9/5/2020,12:53:55 PM,CDT,Out of Range,Low,1,1,1,0,19,0,,,,,,,,
150303 RUBI,1A433554,RR,Queretaro Plt 2,2884,9/8/2020,5:22:22 PM,CDT,00A6CA7212FB,High,5,7,8,7,19,0,Locked,9/8/2020,5:26:55 PM,CDT,9/8/2020,5:41:57 PM,CDT,"Al momento de ir a reconocer la alarma, el montacargas estaba enfrente del rack de habilitado tratando de dejar una tarima en su lugar pero al momento de levantar las unas hacia arriba el respaldo empujo un brazo ocasionando que se callera al nivel del suelo pegando en el lateral izquierdo de la llanta ocasionando el bloqueo de la unidad. No se encontraba nadie en ese lugar mas que el conductor del montacargas."
150303 RUBI,1A433554,RR,Queretaro Plt 2,2884,9/25/2020,1:30:42 PM,CDT,00A6CA86D17B,High,5,5,8,2,19,0,Locked,9/25/2020,1:38:54 PM,CDT,9/25/2020,1:46:02 PM,CDT,No Comment
100524 MANTTO. Q2,9A169828,WAVE,Queretaro Plt 2,3200,9/24/2020,7:18:28 PM,CDT,A46C2A882EDB,High,18,18,18,20,,,Locked,9/24/2020,7:22:03 PM,CDT,9/24/2020,7:46:35 PM,CDT,Comenta colaborador que cerró las puertas del WAV e intentó elevar la canastilla y se le bloqueó.
100524 MANTTO. Q2,9A169828,WAVE,Queretaro Plt 2,3200,9/24/2020,7:18:35 PM,CDT,A46C2A882EDB,High,18,19,18,20,,,Locked,9/24/2020,7:22:03 PM,CDT,9/24/2020,7:49:03 PM,CDT,El colaborador cierra la puerta del WAV e intentó elevar la canastilla y se le bloqueó al instante. El WAV no está en condiciones para operarse.
100524 MANTTO. Q2,9A169828,WAVE,Queretaro Plt 2,3732,9/24/2020,7:30:07 PM,CDT,A46C2A882EDB,High,18,16,18,18,,,Locked,9/25/2020,8:37:49 AM,CDT,9/24/2020,8:18:45 PM,CDT,No Comment
